seed,method,mse,ratio
0,unmasked_overlap,0.04778764147962154,8.0
0,masked_future,0.38230113183697234,8.0
1,unmasked_overlap,0.058760420983309886,8.0
1,masked_future,0.4700833678664791,8.0
2,unmasked_overlap,0.05070296297494193,8.000000000000002
2,masked_future,0.4056237037995355,8.000000000000002
3,unmasked_overlap,0.04949115074581599,8.0
3,masked_future,0.3959292059665279,8.0
4,unmasked_overlap,0.04258751505155271,8.0
4,masked_future,0.3407001204124217,8.0
5,unmasked_overlap,0.039343982936559045,8.0
5,masked_future,0.31475186349247236,8.0
6,unmasked_overlap,0.059658405603255346,8.0
6,masked_future,0.47726724482604277,8.0
7,unmasked_overlap,0.07917679891381703,8.0
7,masked_future,0.6334143913105362,8.0
8,unmasked_overlap,0.038612640175660656,8.0
8,masked_future,0.30890112140528525,8.0
9,unmasked_overlap,0.04778482104496643,8.0
9,masked_future,0.38227856835973145,8.0
10,unmasked_overlap,0.03104674877348584,7.999999999999999
10,masked_future,0.2483739901878867,7.999999999999999
11,unmasked_overlap,0.03712420065156558,7.999999999999997
11,masked_future,0.29699360521252455,7.999999999999997
12,unmasked_overlap,0.04121885477104057,8.000000000000002
12,masked_future,0.3297508381683246,8.000000000000002
13,unmasked_overlap,0.05517030250879367,8.0
13,masked_future,0.44136242007034937,8.0
14,unmasked_overlap,0.03588556740262166,7.999999999999998
14,masked_future,0.2870845392209732,7.999999999999998
15,unmasked_overlap,0.046153494329095976,8.0
15,masked_future,0.3692279546327678,8.0
16,unmasked_overlap,0.05189373152461805,7.999999999999999
16,masked_future,0.41514985219694434,7.999999999999999
17,unmasked_overlap,0.054127514471229765,8.0
17,masked_future,0.4330201157698381,8.0
18,unmasked_overlap,0.05868214275960262,8.0
18,masked_future,0.46945714207682093,8.0
19,unmasked_overlap,0.05415771572319144,8.0
19,masked_future,0.4332617257855315,8.0
20,unmasked_overlap,0.0431214967127665,8.0
20,masked_future,0.344971973702132,8.0
21,unmasked_overlap,0.046470321613177754,7.999999999999999
21,masked_future,0.371762572905422,7.999999999999999
22,unmasked_overlap,0.07522170726570569,8.0
22,masked_future,0.6017736581256455,8.0
23,unmasked_overlap,0.04748210441398382,7.999999999999999
23,masked_future,0.3798568353118705,7.999999999999999
24,unmasked_overlap,0.04954589455193715,8.0
24,masked_future,0.3963671564154972,8.0
25,unmasked_overlap,0.054586262364878665,8.000000000000002
25,masked_future,0.4366900989190294,8.000000000000002
26,unmasked_overlap,0.04199798976993288,8.0
26,masked_future,0.33598391815946305,8.0
27,unmasked_overlap,0.05533960723773626,8.0
27,masked_future,0.4427168579018901,8.0
28,unmasked_overlap,0.05726019121518908,8.000000000000002
28,masked_future,0.45808152972151267,8.000000000000002
29,unmasked_overlap,0.05537503144619933,8.0
29,masked_future,0.44300025156959466,8.0
