bundle,artifact_path,audit_type,passed,violations,warnings,checked,observed_seeds,window_count
2026-05-28_neurotwin-a100-results-423248a-evidence.zip,neurotwin-a100-results-423248a/prepared/eval_audit.json,eval,true,0,0,5,,18144
2026-05-28_neurotwin-a100-results-423248a-evidence.zip,neurotwin-a100-results-423248a/prepared/leakage_report.json,leakage,true,0,0,1,,
2026-05-31_neurotwin-a100-results-7de1e50-evidence.zip,neurotwin-a100-results-7de1e50/prepared/eval_audit.json,eval,true,0,0,10,,18144
2026-05-31_neurotwin-a100-results-7de1e50-evidence.zip,neurotwin-a100-results-7de1e50/prepared/leakage_report.json,leakage,true,0,0,1,,
2026-05-31_neurotwin-a100-results-82e2f0b-evidence.zip,neurotwin-a100-results-82e2f0b-evidence/prepared/eval_audit.json,eval,true,0,0,10,,18144
2026-05-31_neurotwin-a100-results-82e2f0b-evidence.zip,neurotwin-a100-results-82e2f0b-evidence/prepared/leakage_report.json,leakage,true,0,0,1,,
2026-06-01_neurotwin-a100-results-822a80e-evidence.zip,neurotwin-a100-results-822a80e-evidence/paper_mode_eval/paper_mode_gate.json,paper_mode_gate,true,0,0,4,3,
2026-06-01_neurotwin-a100-results-822a80e-evidence.zip,neurotwin-a100-results-822a80e-evidence/prepared/eval_audit.json,eval,true,0,0,10,,18144
2026-06-01_neurotwin-a100-results-822a80e-evidence.zip,neurotwin-a100-results-822a80e-evidence/prepared/leakage_report.json,leakage,true,0,0,1,,
2026-06-01_neurotwin-a100-results-822a80e-failure-evidence.zip,neurotwin-a100-results-822a80e-failure-evidence/prepared/eval_audit.json,eval,true,0,0,10,,18144
2026-06-01_neurotwin-a100-results-822a80e-failure-evidence.zip,neurotwin-a100-results-822a80e-failure-evidence/prepared/leakage_report.json,leakage,true,0,0,1,,
2026-06-01_neurotwin-a100-results-822a80e-failure-evidence.zip,neurotwin-a100-results-822a80e-failure-evidence/paper_mode_eval/paper_mode_gate.json,paper_mode_gate,true,0,0,4,3,
2026-06-01_neurotwin-algonauts2025-v1-evidence.zip,neurotwin-algonauts2025-v1-evidence/prepared/eval_audit.json,eval,true,0,0,10,,9538
2026-06-01_neurotwin-algonauts2025-v1-evidence.zip,neurotwin-algonauts2025-v1-evidence/prepared/leakage_report.json,leakage,true,0,0,4,,
2026-06-02_neurotwin-a100-results-e9de1d2-paper-audit-v1-evidence.zip,neurotwin-a100-results-e9de1d2-evidence/paper_mode_eval/paper_mode_gate.json,paper_mode_gate,true,0,0,4,3,
2026-06-02_neurotwin-a100-results-e9de1d2-paper-audit-v1-evidence.zip,neurotwin-a100-results-e9de1d2-evidence/prepared/eval_audit.json,eval,true,0,0,10,,18144
2026-06-02_neurotwin-a100-results-e9de1d2-paper-audit-v1-evidence.zip,neurotwin-a100-results-e9de1d2-evidence/prepared/leakage_report.json,leakage,true,0,0,1,,
2026-06-02_neurotwin-a100-results-e9de1d2-paper-audit-v1-evidence.zip,neurotwin-a100-results-e9de1d2-evidence/run/eval_audit.json,eval,true,0,0,10,,18144
2026-06-02_neurotwin-a100-results-e9de1d2-paper-audit-v1-evidence.zip,neurotwin-a100-results-e9de1d2-evidence/run/paper_mode_gate.json,paper_mode_gate,true,0,0,4,3,
2026-06-04_neurotwin-algonauts2025-v2-evidence.zip,evidence/prepared/eval_audit.json,eval,true,0,0,10,,9538
2026-06-04_neurotwin-algonauts2025-v2-evidence.zip,evidence/prepared/leakage_report.json,leakage,true,0,0,5,,
neurotwin-6621642-batchmatched-diagnostic-handoff.zip,neurotwin-6621642-3gpu-batchmatched/prepared/moabb_benchmark/eval_audit.json,eval,true,0,0,10,,18144
neurotwin-6621642-batchmatched-diagnostic-handoff.zip,neurotwin-6621642-3gpu-batchmatched/prepared/moabb_benchmark/leakage_report.json,leakage,true,0,0,1,,
neurotwin-6621642-batchmatched-diagnostic-handoff.zip,neurotwin-6621642-phase1/prepared/moabb_benchmark/eval_audit.json,eval,true,0,0,10,,18144
neurotwin-6621642-batchmatched-diagnostic-handoff.zip,neurotwin-6621642-phase1/eval/moabb_paper_mode/paper_mode_gate.json,paper_mode_gate,true,0,0,4,3,
neurotwin-6621642-batchmatched-recovered-evidence.zip,neurotwin-6621642-3gpu-batchmatched-recovery/runs/moabb_a100_3gpu_batchmatched_recovered/eval_audit.json,eval,true,0,0,10,,18144
neurotwin-6621642-batchmatched-recovered-evidence.zip,neurotwin-6621642-3gpu-batchmatched-recovery/runs/moabb_a100_3gpu_batchmatched_recovered/paper_mode_gate.json,paper_mode_gate,true,0,0,4,3,
neurotwin-6621642-batchmatched-recovered-evidence.zip,neurotwin-6621642-3gpu-batchmatched/prepared/moabb_benchmark/eval_audit.json,eval,true,0,0,10,,18144
neurotwin-6621642-batchmatched-recovered-evidence.zip,neurotwin-6621642-3gpu-batchmatched/prepared/moabb_benchmark/leakage_report.json,leakage,true,0,0,1,,
neurotwin-6621642-batchmatched-recovered-evidence.zip,neurotwin-6621642-phase1/prepared/moabb_benchmark/eval_audit.json,eval,true,0,0,10,,18144
neurotwin-6621642-batchmatched-recovered-evidence.zip,neurotwin-6621642-phase1/eval/moabb_paper_mode/paper_mode_gate.json,paper_mode_gate,true,0,0,4,3,
neurotwin-6621642-ddpfix-resume-handoff.zip,neurotwin-a100-results-6621642-evidence/run/eval_audit.json,eval,true,0,0,10,,18144
neurotwin-6621642-ddpfix-resume-handoff.zip,neurotwin-a100-results-6621642-evidence/run/paper_mode_gate.json,paper_mode_gate,true,0,0,4,3,
