bundle,artifact_path,task_id,source_modality,target_modality,eval_mse,eval_mae,eval_pearsonr,eval_r2,test_mse,best_val_mse
2026-05-28_neurotwin-a100-results-423248a-evidence.zip,neurotwin-a100-results-423248a/run/tables/task_results.csv,future_state_forecasting,eeg,eeg,46.00471280051333,5.263082276137754,0.38214484423579975,0.14215094183945565,46.00471280051333,39.75545439542232
2026-05-28_neurotwin-a100-results-423248a-evidence.zip,neurotwin-a100-results-423248a/run/tables/task_results.csv,masked_neural_reconstruction,eeg,eeg,46.46146129453756,5.293051638070371,0.371698048237197,0.13365170593509312,46.46146129453756,39.88277011373041
2026-05-31_neurotwin-a100-results-7de1e50-evidence.zip,neurotwin-a100-results-7de1e50/run/tables/task_results.csv,future_state_forecasting,eeg,eeg,46.00471280051333,5.263082276137754,0.38214484423579975,0.14215094183945565,46.00471280051333,39.75545439542232
2026-05-31_neurotwin-a100-results-7de1e50-evidence.zip,neurotwin-a100-results-7de1e50/run/tables/task_results.csv,masked_neural_reconstruction,eeg,eeg,46.46146129453756,5.293051638070371,0.371698048237197,0.13365170593509312,46.46146129453756,39.88277011373041
2026-05-31_neurotwin-a100-results-82e2f0b-evidence.zip,neurotwin-a100-results-82e2f0b-evidence/run/tables/task_results.csv,future_state_forecasting,eeg,eeg,42.69997628161762,5.051528678420465,0.458440372738321,0.20377430470004942,42.69997628161762,37.48053368661969
2026-05-31_neurotwin-a100-results-82e2f0b-evidence.zip,neurotwin-a100-results-82e2f0b-evidence/run/tables/task_results.csv,masked_neural_reconstruction,eeg,eeg,44.19838101018469,5.127641408098934,0.45820192411429367,0.1758504592470459,44.19838101018469,39.34257599790543
2026-06-01_neurotwin-a100-results-822a80e-evidence.zip,neurotwin-a100-results-822a80e-evidence/run/tables/task_results.csv,future_state_forecasting,eeg,eeg,13.242462943376136,2.7497026054160614,0.868564675602592,0.753068029943785,13.242462943376136,6.0231575747579145
2026-06-01_neurotwin-a100-results-822a80e-evidence.zip,neurotwin-a100-results-822a80e-evidence/run/tables/task_results.csv,masked_neural_reconstruction,eeg,eeg,14.500531816904173,2.8521831180707116,0.8563280242838514,0.7296143803362078,14.500531816904173,8.249870235656012
2026-06-01_neurotwin-algonauts2025-v1-evidence.zip,neurotwin-algonauts2025-v1-evidence/run/tables/task_results.csv,future_state_forecasting,fmri,fmri,0.3704057158577742,0.47702833497262387,0.021147489604090967,0.00022823194044319095,0.3704057158577742,0.3722508785371101
2026-06-01_neurotwin-algonauts2025-v1-evidence.zip,neurotwin-algonauts2025-v1-evidence/run/tables/task_results.csv,masked_neural_reconstruction,fmri,fmri,nan,nan,nan,nan,nan,nan
2026-06-01_neurotwin-algonauts2025-v1-evidence.zip,neurotwin-algonauts2025-v1-evidence/run/tables/task_results.csv,stimulus_to_fmri_response,stimulus,fmri,0.3700777378938426,0.47685055091881146,0.031562457078157746,0.0009851610724053161,0.3700777378938426,0.3726290665003816
2026-06-02_neurotwin-a100-results-e9de1d2-paper-audit-v1-evidence.zip,neurotwin-a100-results-e9de1d2-evidence/run/tables/task_results.csv,future_state_forecasting,eeg,eeg,12.708122327995936,2.6869246986926507,0.873664213013214,0.7630318698579365,12.708122327995936,5.702088785504984
2026-06-02_neurotwin-a100-results-e9de1d2-paper-audit-v1-evidence.zip,neurotwin-a100-results-e9de1d2-evidence/run/tables/task_results.csv,masked_neural_reconstruction,eeg,eeg,13.666385313467636,2.79474194578787,0.864414321272169,0.745168376704751,13.666385313467636,6.377687089520153
neurotwin-6621642-ddpfix-resume-handoff.zip,neurotwin-a100-results-6621642-evidence/run/tables/task_results.csv,future_state_forecasting,eeg,eeg,3.11607456072082,1.29685807808655,0.9721078350075555,0.9418946133048665,3.11607456072082,2.2286510506462704
neurotwin-6621642-ddpfix-resume-handoff.zip,neurotwin-a100-results-6621642-evidence/run/tables/task_results.csv,masked_neural_reconstruction,eeg,eeg,53.977131681115935,5.690621054686437,-0.01250664475078943,-0.006489995095128931,53.977131681115935,47.42570504386622
